algo,metric,mean,median,p5,num_frames
blur_mild,psnr,34.121661,34.069593,33.819331,4
blur_mild,ssim,0.98525481,0.98513478,0.98485478,4
blur_mild,flip,0.012242376,0.012270353,0.011505776,4
blur_strong,psnr,27.553323,27.506111,27.259238,4
blur_strong,ssim,0.93691474,0.93656388,0.93469393,4
blur_strong,flip,0.053555729,0.054010507,0.05160123,4
identical,psnr,inf,inf,inf,4
identical,ssim,1,1,1,4
identical,flip,0,0,0,4
noise,psnr,22.202937,22.213685,22.119092,4
noise,ssim,0.17929509,0.17894144,0.17545915,4
noise,flip,0.15324406,0.15357668,0.15127682,4
shift,psnr,17.904309,17.857375,17.748986,4
shift,ssim,0.87685186,0.87617707,0.87588392,4
shift,flip,0.20844873,0.20869823,0.20655635,4
blur_mild,lpips,0.087848652,0.088464968,0.078653288,4
blur_strong,lpips,0.23418898,0.23365553,0.22702059,4
identical,lpips,0,0,0,4
noise,lpips,0.68067172,0.68143147,0.67349949,4
shift,lpips,0.19701738,0.20944225,0.16094368,4
